"Module Name","Table Name","Cross Module Dependencies Names","Cross Module Dependencies Count"
"Module J5 - Analytics","Project KPIs","Module J4 - Monitoring",1
"Module J5 - Analytics","Lessons Learned","Module J1 - Project Setup, Module J3 - Execution",2
"Module J5 - Analytics","Portfolio Dashboard","Module J1 - Project Setup, Module J4 - Monitoring",2
"Module M1 - Asset Master","Assets","Module A - Core HR",1
"Module M1 - Product Definition","Work Centers","Module A - Core HR",1
"Module M1 - Product Definition","Routing","Module M1 - Product Definition",1
"Module M1 - Product Definition","BOM","Module M1 - Product Definition, Module I1 - Inventory Master",2
"Module M2 - Lifecycle","Depreciation","Module M1 - Asset Master",1
"Module M2 - Lifecycle","Acquisitions","Module M1 - Asset Master, Module P1 - Vendor Management",2
"Module M2 - Lifecycle","Transfers","Module M1 - Asset Master, Module A - Core HR",2
"Module M2 - Planning","Production Orders","Module M1 - Product Definition",1
"Module M2 - Planning","Material Requirements","Module M1 - Product Definition, Module M2 - Planning",2
"Module M2 - Planning","Capacity Plans","Module M1 - Product Definition, Module M2 - Planning",2
"Module M3 - Execution","Quality Checks","Module M3 - Execution",1
"Module M3 - Execution","Work Orders","Module M1 - Asset Master",1
"Module M3 - Execution","Material Issues","Module M3 - Execution, Module I1 - Inventory Master",2
"Module M3 - Execution","Production Logs","Module M3 - Execution, Module A - Core HR",2
"Module M3 - Execution","Work Orders","Module M1 - Product Definition, Module M2 - Planning",2
"Module M3 - Maintenance","Maintenance Schedules","Module M1 - Asset Master",1
"Module M4 - Costing","Variance Analysis","Module M4 - Costing",1
"Module M4 - Costing","Standard Costs","Module M1 - Product Definition",1
"Module M4 - Costing","Actual Costs","Module M3 - Execution, Module M4 - Costing",2
"Module M4 - Tracking","Audits","Module M1 - Asset Master",1
"Module M4 - Tracking","Checkouts","Module M1 - Asset Master, Module A - Core HR",2
"Module M4 - Tracking","Assignments","Module M1 - Asset Master, Module A - Core HR",2
"Module M5 - Analytics","Maintenance History","Module M1 - Product Definition, Module M3 - Execution",2
"Module M5 - Analytics","Production Yield","Module M3 - Execution, Module M5 - Analytics",2
"Module M5 - Analytics","Asset Valuation","Module M1 - Asset Master, Module M2 - Lifecycle",2
"Module M5 - Analytics","OEE (Overall Equipment Effectiveness)","Module M3 - Execution, Module M1 - Product Definition",2
"Module M5 - Analytics","Utilization Reports","Module M1 - Asset Master, Module M4 - Tracking",2
"Module M5 - Analytics","Replacement Forecasts","Module M1 - Asset Master, Module M2 - Lifecycle, Module M3 - Maintenance",3
"Module P2 - Procurement","Purchase Orders","Module A - Core HR",1
"Module P4 - Analytics","Procurement Reports","Module P1 - Vendor Management, Module P3 - Inventory",2
"Module S2 - Order Processing","Sales Orders","Module A - Core HR",1
"Module S4 - Analytics","Sales Forecasts","Module P3 - Inventory",1
